indice_tiempo,region,residentes,noresidentes,total
2009-12-01,buenos-aires,848,0,848
2009-12-01,cordoba,1105,218,1323
2009-12-01,cuyo,1581,164,1745
2009-12-01,litoral,39850,45649,85499
2009-12-01,norte,2050,944,2994
2009-12-01,patagonia,73588,71926,145514
2010-01-01,buenos-aires,582,0,582
2010-01-01,cordoba,1975,66,2041
2010-01-01,cuyo,6672,187,6859
2010-01-01,litoral,113616,55218,168834
2010-01-01,norte,10856,1911,12767
2010-01-01,patagonia,314525,90345,404870
2010-02-01,buenos-aires,706,0,706
2010-02-01,cordoba,1798,199,1997
2010-02-01,cuyo,5313,144,5457
2010-02-01,litoral,75843,51064,126907
2010-02-01,norte,9210,3472,12682
2010-02-01,patagonia,195430,81182,276611
2010-03-01,buenos-aires,1141,0,1141
2010-03-01,cordoba,1130,259,1389
2010-03-01,cuyo,2274,172,2446
2010-03-01,litoral,41499,43249,84748
2010-03-01,norte,3933,1250,5183
2010-03-01,patagonia,107332,54574,161906
2010-04-01,buenos-aires,530,0,530
2010-04-01,cordoba,1115,193,1308
2010-04-01,cuyo,4478,133,4611
2010-04-01,litoral,61930,32812,94742
2010-04-01,norte,9877,1927,11804
2010-04-01,patagonia,76539,24458,100997
2010-05-01,buenos-aires,1570,0,1570
2010-05-01,cordoba,1614,165,1779
2010-05-01,cuyo,3762,71,3833
2010-05-01,litoral,59428,22014,81442
2010-05-01,norte,8479,1100,9579
2010-05-01,patagonia,34645,12245,46890
2010-06-01,buenos-aires,542,0,542
2010-06-01,cordoba,431,105,536
2010-06-01,cuyo,1382,33,1415
2010-06-01,litoral,41760,21218,62978
2010-06-01,norte,4854,663,5517
2010-06-01,patagonia,17913,8406,26319
2010-07-01,buenos-aires,837,0,837
2010-07-01,cordoba,1510,188,1698
2010-07-01,cuyo,7454,76,7530
2010-07-01,litoral,125000,32713,157713
2010-07-01,norte,27731,3074,30805
2010-07-01,patagonia,37685,11347,49033
2010-08-01,buenos-aires,1934,0,1934
2010-08-01,cordoba,713,141,854
2010-08-01,cuyo,2653,76,2729
2010-08-01,litoral,77621,32125,109746
2010-08-01,norte,7286,969,8255
2010-08-01,patagonia,25811,15136,40947
2010-09-01,buenos-aires,1879,0,1879
2010-09-01,cordoba,916,151,1067
2010-09-01,cuyo,2504,71,2575
2010-09-01,litoral,82479,32783,115261
2010-09-01,norte,7153,1084,8237
2010-09-01,patagonia,40562,21874,62437
2010-10-01,buenos-aires,2891,0,2891
2010-10-01,cordoba,1896,214,2110
2010-10-01,cuyo,3750,102,3852
2010-10-01,litoral,103422,40895,144317
2010-10-01,norte,7987,775,8762
2010-10-01,patagonia,73011,37858,110869
2010-11-01,buenos-aires,1438,0,1438
2010-11-01,cordoba,730,210,940
2010-11-01,cuyo,2247,170,2417
2010-11-01,litoral,70135,50332,120467
2010-11-01,norte,4698,1468,6166
2010-11-01,patagonia,82479,64442,146921
2010-12-01,buenos-aires,384,0,384
2010-12-01,cordoba,477,207,684
2010-12-01,cuyo,950,141,1091
2010-12-01,litoral,43758,45743,89501
2010-12-01,norte,2394,897,3291
2010-12-01,patagonia,81169,71083,152252
2011-01-01,buenos-aires,536,0,536
2011-01-01,cordoba,2624,229,2853
2011-01-01,cuyo,6634,260,6894
2011-01-01,litoral,141973,55621,197594
2011-01-01,norte,8512,2512,11024
2011-01-01,patagonia,325458,94243,419701
2011-02-01,buenos-aires,891,0,891
2011-02-01,cordoba,2137,208,2345
2011-02-01,cuyo,4985,200,5185
2011-02-01,litoral,96570,48181,144751
2011-02-01,norte,5396,1293,6689
2011-02-01,patagonia,172672,103185,275857
2011-03-01,buenos-aires,1939,0,1939
2011-03-01,cordoba,2018,270,2288
2011-03-01,cuyo,4179,158,4337
2011-03-01,litoral,81989,52676,134665
2011-03-01,norte,6741,1611,8352
2011-03-01,patagonia,101400,66683,168083
2011-04-01,buenos-aires,511,0,511
2011-04-01,cordoba,1576,284,1860
2011-04-01,cuyo,4309,170,4479
2011-04-01,litoral,63263,41430,104693
2011-04-01,norte,12294,2526,14820
2011-04-01,patagonia,53646,29676,83322
2011-05-01,buenos-aires,1514,0,1514
2011-05-01,cordoba,1028,138,1166
2011-05-01,cuyo,1924,94,2018
2011-05-01,litoral,43111,26967,70078
2011-05-01,norte,8381,2261,10642
2011-05-01,patagonia,24208,9887,34095
2011-06-01,buenos-aires,733,0,733
2011-06-01,cordoba,709,95,804
2011-06-01,cuyo,1622,50,1672
2011-06-01,litoral,42743,23250,65993
2011-06-01,norte,5672,730,6402
2011-06-01,patagonia,7543,2262,9804
2011-07-01,buenos-aires,1515,0,1515
2011-07-01,cordoba,1470,277,1747
2011-07-01,cuyo,7802,125,7927
2011-07-01,litoral,128622,33058,161680
2011-07-01,norte,23913,1992,25905
2011-07-01,patagonia,24205,6522,30727
2011-08-01,buenos-aires,1079,0,1079
2011-08-01,cordoba,760,304,1064
2011-08-01,cuyo,2331,68,2399
2011-08-01,litoral,63216,30562,93778
2011-08-01,norte,13481,2981,16462
2011-08-01,patagonia,19653,8978,28630
2011-09-01,buenos-aires,1254,0,1254
2011-09-01,cordoba,1099,176,1275
2011-09-01,cuyo,2619,73,2692
2011-09-01,litoral,83536,31528,115064
2011-09-01,norte,16044,2387,18431
2011-09-01,patagonia,35032,17604,52636
2011-10-01,buenos-aires,1762,0,1762
2011-10-01,cordoba,1675,227,1902
2011-10-01,cuyo,3468,112,3580
2011-10-01,litoral,93591,40399,133990
2011-10-01,norte,10381,1808,12189
2011-10-01,patagonia,63321,38114,101435
2011-11-01,buenos-aires,1437,0,1437
2011-11-01,cordoba,859,213,1072
2011-11-01,cuyo,2234,192,2426
2011-11-01,litoral,75815,50878,126693
2011-11-01,norte,9424,3414,12838
2011-11-01,patagonia,54241,71086,125327
2011-12-01,buenos-aires,750,0,750
2011-12-01,cordoba,682,230,912
2011-12-01,cuyo,1369,154,1523
2011-12-01,litoral,59952,48921,108873
2011-12-01,norte,10867,3614,14481
2011-12-01,patagonia,86950,63736,150686
2012-01-01,buenos-aires,899,0,899
2012-01-01,cordoba,1833,295,2128
2012-01-01,cuyo,5907,207,6114
2012-01-01,litoral,166974,58679,225653
2012-01-01,norte,15487,3003,18490
2012-01-01,patagonia,281100,91528,372628
2012-02-01,buenos-aires,1021,0,1021
2012-02-01,cordoba,1490,188,1678
2012-02-01,cuyo,4795,256,5051
2012-02-01,litoral,119431,54850,174281
2012-02-01,norte,11567,2536,14103
2012-02-01,patagonia,168339,71409,239748
2012-03-01,buenos-aires,918,0,918
2012-03-01,cordoba,1262,281,1543
2012-03-01,cuyo,2252,195,2447
2012-03-01,litoral,56361,47298,103659
2012-03-01,norte,9233,2384,11617
2012-03-01,patagonia,78368,49560,127928
2012-04-01,buenos-aires,2458,0,2458
2012-04-01,cordoba,2403,242,2645
2012-04-01,cuyo,5548,154,5702
2012-04-01,litoral,105369,41925,147294
2012-04-01,norte,19245,4201,23446
2012-04-01,patagonia,75347,22351,97699
2012-05-01,buenos-aires,1195,0,1195
2012-05-01,cordoba,991,134,1125
2012-05-01,cuyo,2490,88,2578
2012-05-01,litoral,55399,26997,82396
2012-05-01,norte,6570,894,7464
2012-05-01,patagonia,22363,8185,30549
2012-06-01,buenos-aires,1000,0,1000
2012-06-01,cordoba,686,145,831
2012-06-01,cuyo,1381,30,1411
2012-06-01,litoral,46344,23846,70190
2012-06-01,norte,7335,975,8309
2012-06-01,patagonia,18776,7774,26550
2012-07-01,buenos-aires,1815,0,1815
2012-07-01,cordoba,1526,188,1714
2012-07-01,cuyo,8973,73,9046
2012-07-01,litoral,164166,33696,197862
2012-07-01,norte,31007,1480,32487
2012-07-01,patagonia,42923,12279,55202
2012-08-01,buenos-aires,771,0,771
2012-08-01,cordoba,1141,219,1360
2012-08-01,cuyo,2802,83,2885
2012-08-01,litoral,73297,32939,106236
2012-08-01,norte,8624,943,9566
2012-08-01,patagonia,30623,12814,43437
2012-09-01,buenos-aires,2262,0,2262
2012-09-01,cordoba,1466,199,1665
2012-09-01,cuyo,3504,65,3569
2012-09-01,litoral,102094,33015,135109
2012-09-01,norte,10141,466,10607
2012-09-01,patagonia,52541,17684,70226
2012-10-01,buenos-aires,1018,0,1018
2012-10-01,cordoba,1309,151,1460
2012-10-01,cuyo,3129,107,3236
2012-10-01,litoral,105940,42006,147946
2012-10-01,norte,9252,735,9987
2012-10-01,patagonia,67427,30194,97622
2012-11-01,buenos-aires,1484,0,1484
2012-11-01,cordoba,1326,213,1539
2012-11-01,cuyo,2270,240,2510
2012-11-01,litoral,77324,51707,129031
2012-11-01,norte,5722,1058,6780
2012-11-01,patagonia,80296,62204,142500
2012-12-01,buenos-aires,294,0,294
2012-12-01,cordoba,670,152,822
2012-12-01,cuyo,1229,164,1393
2012-12-01,litoral,52101,47214,99315
2012-12-01,norte,2866,561,3427
2012-12-01,patagonia,70489,60986,131475
2013-01-01,buenos-aires,661,0,661
2013-01-01,cordoba,2234,197,2431
2013-01-01,cuyo,5339,217,5556
2013-01-01,litoral,156896,59221,216117
2013-01-01,norte,8511,919,9430
2013-01-01,patagonia,430226,79716,509942
2013-02-01,buenos-aires,751,0,751
2013-02-01,cordoba,1511,151,1662
2013-02-01,cuyo,4506,187,4693
2013-02-01,litoral,110286,52311,162597
2013-02-01,norte,9630,1587,11217
2013-02-01,patagonia,244016,72314,316330
2013-03-01,buenos-aires,675,0,675
2013-03-01,cordoba,2416,243,2659
2013-03-01,cuyo,4995,196,5191
2013-03-01,litoral,103031,48034,151065
2013-03-01,norte,8892,4312,13204
2013-03-01,patagonia,141091,48949,190040
2013-04-01,buenos-aires,1454,0,1454
2013-04-01,cordoba,1824,170,1994
2013-04-01,cuyo,3649,127,3776
2013-04-01,litoral,63905,34039,97944
2013-04-01,norte,6869,632,7501
2013-04-01,patagonia,65954,23007,88961
2013-05-01,buenos-aires,1069,0,1069
2013-05-01,cordoba,1484,167,1651
2013-05-01,cuyo,1934,56,1990
2013-05-01,litoral,44100,29712,73812
2013-05-01,norte,5900,409,6309
2013-05-01,patagonia,23409,10935,34343
2013-06-01,buenos-aires,1370,0,1370
2013-06-01,cordoba,1106,133,1239
2013-06-01,cuyo,3345,73,3418
2013-06-01,litoral,64769,22009,86778
2013-06-01,norte,8004,275,8279
2013-06-01,patagonia,24583,10373,34956
2013-07-01,buenos-aires,1309,0,1309
2013-07-01,cordoba,2255,188,2443
2013-07-01,cuyo,8711,104,8815
2013-07-01,litoral,103269,36368,139637
2013-07-01,norte,22828,581,23409
2013-07-01,patagonia,54505,18284,72790
2013-08-01,buenos-aires,295,0,295
2013-08-01,cordoba,1206,177,1383
2013-08-01,cuyo,2448,83,2531
2013-08-01,litoral,59692,33019,92711
2013-08-01,norte,9236,792,10028
2013-08-01,patagonia,36763,16315,53078
2013-09-01,buenos-aires,1210,0,1210
2013-09-01,cordoba,1843,108,1951
2013-09-01,cuyo,2633,57,2690
2013-09-01,litoral,77648,33067,110715
2013-09-01,norte,9591,653,10244
2013-09-01,patagonia,57927,21338,79265
2013-10-01,buenos-aires,1830,0,1830
2013-10-01,cordoba,1397,178,1575
2013-10-01,cuyo,3854,139,3993
2013-10-01,litoral,91600,43941,135541
2013-10-01,norte,8701,1532,10233
2013-10-01,patagonia,78983,30238,109220
2013-11-01,buenos-aires,294,0,294
2013-11-01,cordoba,1050,220,1270
2013-11-01,cuyo,2329,191,2520
2013-11-01,litoral,74330,53742,128072
2013-11-01,norte,7739,1321,9060
2013-11-01,patagonia,79002,62877,141879
2013-12-01,buenos-aires,216,0,216
2013-12-01,cordoba,558,209,767
2013-12-01,cuyo,1000,172,1172
2013-12-01,litoral,51583,53682,105265
2013-12-01,norte,3251,893,4144
2013-12-01,patagonia,86334,68857,155191
2014-01-01,buenos-aires,865,12,877
2014-01-01,cordoba,2010,152,2162
2014-01-01,cuyo,5397,310,5707
2014-01-01,litoral,252104,126220,378324
2014-01-01,norte,7007,1101,8108
2014-01-01,patagonia,381260,89789,471049
2014-02-01,buenos-aires,259,7,266
2014-02-01,cordoba,1656,110,1766
2014-02-01,cuyo,3481,137,3618
2014-02-01,litoral,100805,51731,152536
2014-02-01,norte,4785,1010,5795
2014-02-01,patagonia,246034,85348,331382
2014-03-01,buenos-aires,2130,19,2149
2014-03-01,cordoba,3283,254,3537
2014-03-01,cuyo,4902,226,5128
2014-03-01,litoral,79364,55991,135355
2014-03-01,norte,6380,1351,7731
2014-03-01,patagonia,151113,52632,203745
2014-04-01,buenos-aires,1273,9,1282
2014-04-01,cordoba,2159,194,2353
2014-04-01,cuyo,3861,156,4017
2014-04-01,litoral,67916,46066,113982
2014-04-01,norte,10124,1730,11854
2014-04-01,patagonia,83758,30307,114065
2014-05-01,buenos-aires,1066,8,1074
2014-05-01,cordoba,2475,176,2651
2014-05-01,cuyo,3806,92,3898
2014-05-01,litoral,57087,33030,90117
2014-05-01,norte,10570,1111,11681
2014-05-01,patagonia,45321,14116,59437
2014-06-01,buenos-aires,691,4,695
2014-06-01,cordoba,1092,116,1208
2014-06-01,cuyo,1925,43,1968
2014-06-01,litoral,64698,55567,120265
2014-06-01,norte,7644,416,8060
2014-06-01,patagonia,29854,10181,40035
2014-07-01,buenos-aires,1100,2,1102
2014-07-01,cordoba,2290,204,2494
2014-07-01,cuyo,7943,96,8039
2014-07-01,litoral,82895,36040,118935
2014-07-01,norte,23258,1181,24439
2014-07-01,patagonia,61473,16733,78206
2014-08-01,buenos-aires,3154,13,3167
2014-08-01,cordoba,2456,226,2682
2014-08-01,cuyo,3731,115,3846
2014-08-01,litoral,61094,32173,93267
2014-08-01,norte,11309,1265,12574
2014-08-01,patagonia,48369,17645,66014
2014-09-01,buenos-aires,2321,16,2337
2014-09-01,cordoba,2742,206,2948
2014-09-01,cuyo,3375,115,3490
2014-09-01,litoral,98224,48157,146381
2014-09-01,norte,10781,1026,11807
2014-09-01,patagonia,67414,25111,92525
2014-10-01,buenos-aires,2643,14,2657
2014-10-01,cordoba,3049,170,3219
2014-10-01,cuyo,4046,160,4206
2014-10-01,litoral,87240,45238,132478
2014-10-01,norte,8923,903,9826
2014-10-01,patagonia,105774,37627,143401
2014-11-01,buenos-aires,3482,37,3519
2014-11-01,cordoba,1855,205,2060
2014-11-01,cuyo,2536,266,2802
2014-11-01,litoral,74533,52028,126561
2014-11-01,norte,6680,1602,8282
2014-11-01,patagonia,94929,71986,166916
2014-12-01,buenos-aires,814,10,824
2014-12-01,cordoba,1223,238,1461
2014-12-01,cuyo,4024,194,4218
2014-12-01,litoral,57189,53030,110219
2014-12-01,norte,4352,1145,5497
2014-12-01,patagonia,104009,77709,181718
2015-01-01,buenos-aires,720,10,730
2015-01-01,cordoba,2802,225,3027
2015-01-01,cuyo,5973,236,6209
2015-01-01,litoral,127263,69840,197103
2015-01-01,norte,9088,1011,10099
2015-01-01,patagonia,390404,91969,482373
2015-02-01,buenos-aires,1371,37,1408
2015-02-01,cordoba,2200,230,2430
2015-02-01,cuyo,4837,159,4996
2015-02-01,litoral,112500,59101,171601
2015-02-01,norte,6554,974,7528
2015-02-01,patagonia,250728,81670,332398
2015-03-01,buenos-aires,1861,17,1878
2015-03-01,cordoba,1710,176,1886
2015-03-01,cuyo,3489,266,3755
2015-03-01,litoral,78587,50071,128658
2015-03-01,norte,7704,1274,8978
2015-03-01,patagonia,128103,53142,181245
2015-04-01,buenos-aires,1306,9,1315
2015-04-01,cordoba,1965,253,2218
2015-04-01,cuyo,3443,141,3584
2015-04-01,litoral,75571,43921,119492
2015-04-01,norte,6664,794,7458
2015-04-01,patagonia,81064,24473,105538
2015-05-01,buenos-aires,1174,9,1183
2015-05-01,cordoba,1999,185,2184
2015-05-01,cuyo,2836,124,2960
2015-05-01,litoral,64746,32892,97638
2015-05-01,norte,7330,520,7850
2015-05-01,patagonia,33925,11281,45206
2015-06-01,buenos-aires,895,5,900
2015-06-01,cordoba,939,135,1074
2015-06-01,cuyo,1589,51,1640
2015-06-01,litoral,47760,29286,77046
2015-06-01,norte,6491,341,6832
2015-06-01,patagonia,23846,7917,31762
2015-07-01,buenos-aires,1855,4,1859
2015-07-01,cordoba,1748,264,2012
2015-07-01,cuyo,9207,109,9316
2015-07-01,litoral,162069,44866,206935
2015-07-01,norte,22340,629,22969
2015-07-01,patagonia,63043,11387,74431
2015-08-01,buenos-aires,735,3,738
2015-08-01,cordoba,1031,190,1221
2015-08-01,cuyo,3459,83,3542
2015-08-01,litoral,79349,40907,120256
2015-08-01,norte,9216,662,9878
2015-08-01,patagonia,49695,11413,61109
2015-09-01,buenos-aires,1873,13,1886
2015-09-01,cordoba,434,48,482
2015-09-01,cuyo,2846,122,2968
2015-09-01,litoral,105973,40258,146231
2015-09-01,norte,10448,584,11032
2015-09-01,patagonia,69550,17434,86984
2015-10-01,buenos-aires,1358,7,1365
2015-10-01,cordoba,1341,155,1496
2015-10-01,cuyo,3197,144,3341
2015-10-01,litoral,107832,46246,154078
2015-10-01,norte,9544,540,10084
2015-10-01,patagonia,103417,33600,137017
2015-11-01,buenos-aires,1212,13,1225
2015-11-01,cordoba,1288,229,1517
2015-11-01,cuyo,2088,258,2346
2015-11-01,litoral,81568,53015,134583
2015-11-01,norte,6047,974,7021
2015-11-01,patagonia,88439,65354,153793
2015-12-01,buenos-aires,825,10,835
2015-12-01,cordoba,1052,191,1243
2015-12-01,cuyo,2392,248,2640
2015-12-01,litoral,60821,52242,113063
2015-12-01,norte,3473,713,4185
2015-12-01,patagonia,98776,67776,166552
2016-01-01,buenos-aires,713,9,722
2016-01-01,cordoba,2143,167,2310
2016-01-01,cuyo,5953,215,6168
2016-01-01,litoral,106340,64183,170523
2016-01-01,norte,9176,692,9867
2016-01-01,patagonia,355693,79306,434999
2016-02-01,buenos-aires,539,0,539
2016-02-01,cordoba,939,116,1055
2016-02-01,cuyo,3726,188,3914
2016-02-01,litoral,74113,57459,131572
2016-02-01,norte,4696,846,5542
2016-02-01,patagonia,231623,77924,309547
2016-03-01,buenos-aires,724,5,729
2016-03-01,cordoba,1465,84,1549
2016-03-01,cuyo,3903,283,4186
2016-03-01,litoral,54540,50011,104551
2016-03-01,norte,8014,1384,9398
2016-03-01,patagonia,147119,56800,203920
2016-04-01,buenos-aires,210,8,218
2016-04-01,cordoba,911,153,1064
2016-04-01,cuyo,1899,124,2023
2016-04-01,litoral,32805,36033,68838
2016-04-01,norte,4703,725,5428
2016-04-01,patagonia,68403,22583,90985
2016-05-01,buenos-aires,650,4,654
2016-05-01,cordoba,1442,158,1600
2016-05-01,cuyo,1648,86,1734
2016-05-01,litoral,35983,28671,64654
2016-05-01,norte,9801,844,10645
2016-05-01,patagonia,33336,11552,44888
2016-06-01,buenos-aires,1023,4,1027
2016-06-01,cordoba,833,141,974
2016-06-01,cuyo,2041,44,2085
2016-06-01,litoral,45106,24091,69197
2016-06-01,norte,10478,623,11101
2016-06-01,patagonia,32023,10325,42348
2016-07-01,buenos-aires,1047,2,1049
2016-07-01,cordoba,2307,219,2526
2016-07-01,cuyo,10391,136,10527
2016-07-01,litoral,147288,40535,187823
2016-07-01,norte,25308,692,26000
2016-07-01,patagonia,73824,12578,86402
2016-08-01,buenos-aires,1422,0,1422
2016-08-01,cordoba,1595,235,1830
2016-08-01,cuyo,2784,131,2915
2016-08-01,litoral,71680,37518,109198
2016-08-01,norte,13130,661,13791
2016-08-01,patagonia,49716,12924,62640
2016-09-01,buenos-aires,1655,8,1663
2016-09-01,cordoba,1247,205,1452
2016-09-01,cuyo,2565,96,2661
2016-09-01,litoral,90923,38057,128980
2016-09-01,norte,13659,525,14184
2016-09-01,patagonia,82857,17338,100195
2016-10-01,buenos-aires,1341,11,1352
2016-10-01,cordoba,2459,241,2700
2016-10-01,cuyo,3717,134,3851
2016-10-01,litoral,107488,45088,152576
2016-10-01,norte,16368,885,17253
2016-10-01,patagonia,103646,39989,143635
2016-11-01,buenos-aires,783,2,785
2016-11-01,cordoba,1758,172,1930
2016-11-01,cuyo,2035,176,2211
2016-11-01,litoral,76100,50978,127078
2016-11-01,norte,9943,1123,11066
2016-11-01,patagonia,83961,78391,162352
2016-12-01,buenos-aires,390,8,398
2016-12-01,cordoba,790,229,1019
2016-12-01,cuyo,1433,187,1620
2016-12-01,litoral,66053,51009,117062
2016-12-01,norte,6754,716,7470
2016-12-01,patagonia,117072,79457,196529
2017-01-01,buenos-aires,507,19,526
2017-01-01,cordoba,2213,223,2436
2017-01-01,cuyo,4985,199,5184
2017-01-01,litoral,151355,62135,213490
2017-01-01,norte,10684,844,11528
2017-01-01,patagonia,367007,100516,467523
2017-02-01,buenos-aires,392,5,397
2017-02-01,cordoba,2174,197,2371
2017-02-01,cuyo,3754,156,3910
2017-02-01,litoral,127218,50038,177256
2017-02-01,norte,10396,721,11117
2017-02-01,patagonia,256808,81496,338304
2017-03-01,buenos-aires,910,47,957
2017-03-01,cordoba,2389,244,2633
2017-03-01,cuyo,2661,211,2872
2017-03-01,litoral,68517,41365,109882
2017-03-01,norte,10650,1031,11681
2017-03-01,patagonia,127823,56693,184516
2017-04-01,buenos-aires,1096,14,1110
2017-04-01,cordoba,2492,263,2755
2017-04-01,cuyo,3931,174,4105
2017-04-01,litoral,81897,44767,126664
2017-04-01,norte,13275,951,14226
2017-04-01,patagonia,78370,31634,110004
2017-05-01,buenos-aires,632,1,633
2017-05-01,cordoba,1636,131,1767
2017-05-01,cuyo,1914,108,2022
2017-05-01,litoral,53641,27022,80663
2017-05-01,norte,10800,687,11487
2017-05-01,patagonia,33709,10978,44687
2017-06-01,buenos-aires,643,1,644
2017-06-01,cordoba,980,139,1119
2017-06-01,cuyo,1393,40,1433
2017-06-01,litoral,44949,26348,71297
2017-06-01,norte,11965,797,12762
2017-06-01,patagonia,26906,8862,35768
2017-07-01,buenos-aires,865,10,875
2017-07-01,cordoba,2551,230,2781
2017-07-01,cuyo,8013,113,8126
2017-07-01,litoral,160562,43438,204000
2017-07-01,norte,27161,914,28075
