indice_tiempo,region,residentes,noresidentes,total
2017-07-01,patagonia,61844,16403,78247
2017-08-01,buenos-aires,807,5,812
2017-08-01,cordoba,1762,291,2053
2017-08-01,cuyo,2581,69,2650
2017-08-01,litoral,81123,37139,118262
2017-08-01,norte,14951,817,15768
2017-08-01,patagonia,53361,14636,67997
2017-09-01,buenos-aires,956,1,957
2017-09-01,cordoba,1427,205,1632
2017-09-01,cuyo,2550,103,2653
2017-09-01,litoral,101292,40796,142088
2017-09-01,norte,14982,715,15697
2017-09-01,patagonia,76698,20257,96955
2017-10-01,buenos-aires,1164,9,1173
2017-10-01,cordoba,2077,223,2300
2017-10-01,cuyo,2543,150,2693
2017-10-01,litoral,114161,46235,160396
2017-10-01,norte,15460,1055,16515
2017-10-01,patagonia,89705,37842,127547
2017-11-01,buenos-aires,1260,4,1264
2017-11-01,cordoba,1499,227,1726
2017-11-01,cuyo,2663,217,2880
2017-11-01,litoral,94813,54311,149124
2017-11-01,norte,10789,910,11699
2017-11-01,patagonia,78909,75520,154429
2017-12-01,buenos-aires,225,2,227
2017-12-01,cordoba,637,201,838
2017-12-01,cuyo,1324,160,1484
2017-12-01,litoral,62420,51983,114403
2017-12-01,norte,6164,705,6869
2017-12-01,patagonia,123617,83082,206699
2018-01-01,buenos-aires,239,4,243
2018-01-01,cordoba,2663,239,2902
2018-01-01,cuyo,4959,259,5218
2018-01-01,litoral,157509,63482,220991
2018-01-01,norte,11560,822,12382
2018-01-01,patagonia,337380,103181,440561
2018-02-01,buenos-aires,897,1,898
2018-02-01,cordoba,2199,181,2380
2018-02-01,cuyo,2418,64,2482
2018-02-01,litoral,133209,55080,188289
2018-02-01,norte,4423,571,4994
2018-02-01,patagonia,230375,86948,317323
2018-03-01,buenos-aires,1034,8,1042
2018-03-01,cordoba,3231,284,3515
2018-03-01,cuyo,3105,116,3221
2018-03-01,litoral,94581,52628,147209
2018-03-01,norte,13622,904,14526
2018-03-01,patagonia,138147,67454,205601
2018-04-01,buenos-aires,641,0,641
2018-04-01,cordoba,1488,220,1708
2018-04-01,cuyo,3411,154,3565
2018-04-01,litoral,81373,38392,119765
2018-04-01,norte,12601,825,13426
2018-04-01,patagonia,87109,29037,116146
2018-05-01,buenos-aires,819,0,819
2018-05-01,cordoba,1721,161,1882
2018-05-01,cuyo,2204,147,2351
2018-05-01,litoral,57685,32601,90286
2018-05-01,norte,10678,558,11236
2018-05-01,patagonia,42971,13145,56116
2018-06-01,buenos-aires,539,4,543
2018-06-01,cordoba,565,65,630
2018-06-01,cuyo,1364,47,1411
2018-06-01,litoral,51993,26613,78606
2018-06-01,norte,11303,617,11920
2018-06-01,patagonia,31630,7048,38678
2018-07-01,buenos-aires,790,0,790
2018-07-01,cordoba,2592,244,2836
2018-07-01,cuyo,7987,127,8114
2018-07-01,litoral,167492,45937,213429
2018-07-01,norte,27093,821,27914
2018-07-01,patagonia,74115,16277,90392
2018-08-01,buenos-aires,1609,6,1615
2018-08-01,cordoba,1682,176,1858
2018-08-01,cuyo,2756,79,2835
2018-08-01,litoral,92905,39256,132161
2018-08-01,norte,15220,790,16010
2018-08-01,patagonia,61929,18004,79933
2018-09-01,buenos-aires,1388,2,1390
2018-09-01,cordoba,1823,220,2043
2018-09-01,cuyo,2847,195,3042
2018-09-01,litoral,104666,44472,149138
2018-09-01,norte,15372,1265,16637
2018-09-01,patagonia,72220,24591,96811
2018-10-01,buenos-aires,3120,47,3167
2018-10-01,cordoba,2220,140,2360
2018-10-01,cuyo,3008,193,3201
2018-10-01,litoral,112286,51478,163764
2018-10-01,norte,16317,1455,17772
2018-10-01,patagonia,102958,48773,151731
2018-11-01,buenos-aires,0,0,0
2018-11-01,cordoba,1370,193,1563
2018-11-01,cuyo,2114,227,2341
2018-11-01,litoral,85552,66582,152134
2018-11-01,norte,13605,1793,15398
2018-11-01,patagonia,89209,92106,181315
2018-12-01,buenos-aires,0,0,0
2018-12-01,cordoba,851,135,986
2018-12-01,cuyo,1549,194,1743
2018-12-01,litoral,62567,64615,127182
2018-12-01,norte,8976,1075,10051
2018-12-01,patagonia,119127,103055,222182
2019-01-01,buenos-aires,0,0,0
2019-01-01,cordoba,2384,122,2506
2019-01-01,cuyo,6263,278,6541
2019-01-01,litoral,121048,79892,200940
2019-01-01,norte,9382,775,10157
2019-01-01,patagonia,267686,127186,394872
2019-02-01,buenos-aires,0,0,0
2019-02-01,cordoba,1995,142,2137
2019-02-01,cuyo,4028,206,4234
2019-02-01,litoral,91628,57625,149253
2019-02-01,norte,10334,2538,12872
2019-02-01,patagonia,197102,110476,307578
2019-03-01,buenos-aires,0,0,0
2019-03-01,cordoba,1567,191,1758
2019-03-01,cuyo,3386,183,3569
2019-03-01,litoral,86885,66916,153801
2019-03-01,norte,11771,2067,13838
2019-03-01,patagonia,152137,83570,235707
2019-04-01,buenos-aires,0,0,0
2019-04-01,cordoba,2866,226,3092
2019-04-01,cuyo,3983,185,4168
2019-04-01,litoral,89126,56806,145932
2019-04-01,norte,14713,1027,15740
2019-04-01,patagonia,95036,46125,141161
2019-05-01,buenos-aires,0,0,0
2019-05-01,cordoba,1609,124,1733
2019-05-01,cuyo,1793,196,1989
2019-05-01,litoral,65980,36541,102521
2019-05-01,norte,10223,711,10934
2019-05-01,patagonia,43785,15565,59350
2019-06-01,buenos-aires,0,0,0
2019-06-01,cordoba,1465,107,1572
2019-06-01,cuyo,2205,156,2361
2019-06-01,litoral,75673,33804,109477
2019-06-01,norte,13215,706,13921
2019-06-01,patagonia,44336,12635,56971
2019-07-01,buenos-aires,0,0,0
2019-07-01,cordoba,3410,218,3628
2019-07-01,cuyo,10385,246,10631
2019-07-01,litoral,172987,55229,228216
2019-07-01,norte,34809,1960,36769
2019-07-01,patagonia,75263,21503,96766
2019-08-01,buenos-aires,0,0,0
2019-08-01,cordoba,1159,113,1272
2019-08-01,cuyo,3048,112,3160
2019-08-01,litoral,100231,47298,147529
2019-08-01,norte,18260,992,19252
2019-08-01,patagonia,63967,22807,86774
2019-09-01,buenos-aires,1094,3,1097
2019-09-01,cordoba,2379,236,2615
2019-09-01,cuyo,2806,150,2956
2019-09-01,litoral,108242,48440,156682
2019-09-01,norte,18793,1075,19868
2019-09-01,patagonia,80557,30775,111332
2019-10-01,buenos-aires,1932,10,1942
2019-10-01,cordoba,2047,240,2287
2019-10-01,cuyo,2572,187,2759
2019-10-01,litoral,100324,58521,158845
2019-10-01,norte,19430,1395,20825
2019-10-01,patagonia,114129,58208,172337
2019-11-01,buenos-aires,2265,13,2278
2019-11-01,cordoba,1456,199,1655
2019-11-01,cuyo,2427,266,2693
2019-11-01,litoral,90880,71594,162474
2019-11-01,norte,12770,1435,14205
2019-11-01,patagonia,114687,106529,221216
2019-12-01,buenos-aires,1188,10,1198
2019-12-01,cordoba,1032,195,1227
2019-12-01,cuyo,1553,237,1790
2019-12-01,litoral,70975,73031,144006
2019-12-01,norte,9412,1119,10531
2019-12-01,patagonia,158734,118670,277404
2020-01-01,buenos-aires,1636,10,1646
2020-01-01,cordoba,3205,237,3442
2020-01-01,cuyo,5210,282,5492
2020-01-01,litoral,142678,84747,227425
2020-01-01,norte,12471,1140,13611
2020-01-01,patagonia,386857,140545,527402
2020-02-01,buenos-aires,2721,21,2742
2020-02-01,cordoba,3138,127,3265
2020-02-01,cuyo,5414,288,5702
2020-02-01,litoral,133445,72003,205448
2020-02-01,norte,12668,3014,15682
2020-02-01,patagonia,259031,125058,384089
2020-03-01,buenos-aires,283,1,284
2020-03-01,cordoba,716,79,795
2020-03-01,cuyo,1479,87,1566
2020-03-01,litoral,32810,29693,62502
2020-03-01,norte,5142,984,6126
2020-03-01,patagonia,64984,41476,106459
2020-04-01,buenos-aires,0,0,0
2020-04-01,cordoba,0,0,0
2020-04-01,cuyo,0,0,0
2020-04-01,litoral,0,0,0
2020-04-01,norte,0,0,0
2020-04-01,patagonia,0,0,0
2020-05-01,buenos-aires,0,0,0
2020-05-01,cordoba,0,0,0
2020-05-01,cuyo,0,0,0
2020-05-01,litoral,0,0,0
2020-05-01,norte,0,0,0
2020-05-01,patagonia,0,0,0
2020-06-01,buenos-aires,0,0,0
2020-06-01,cordoba,0,0,0
2020-06-01,cuyo,0,0,0
2020-06-01,litoral,0,0,0
2020-06-01,norte,0,0,0
2020-06-01,patagonia,0,0,0
2020-07-01,buenos-aires,0,0,0
2020-07-01,cordoba,0,0,0
2020-07-01,cuyo,0,0,0
2020-07-01,litoral,959,0,959
2020-07-01,norte,169,0,169
2020-07-01,patagonia,2282,0,2282
2020-08-01,buenos-aires,0,0,0
2020-08-01,cordoba,0,0,0
2020-08-01,cuyo,0,0,0
2020-08-01,litoral,2502,0,2502
2020-08-01,norte,434,0,434
2020-08-01,patagonia,2744,0,2744
2020-09-01,buenos-aires,0,0,0
2020-09-01,cordoba,0,0,0
2020-09-01,cuyo,0,0,0
2020-09-01,litoral,2483,0,2483
2020-09-01,norte,0,0,0
2020-09-01,patagonia,7977,0,7977
2020-10-01,buenos-aires,0,0,0
2020-10-01,cordoba,0,0,0
2020-10-01,cuyo,0,0,0
2020-10-01,litoral,1705,0,1705
2020-10-01,norte,0,0,0
2020-10-01,patagonia,15461,0,15461
2020-11-01,buenos-aires,0,0,0
2020-11-01,cordoba,0,0,0
2020-11-01,cuyo,190,0,190
2020-11-01,litoral,2252,0,2252
2020-11-01,norte,86,0,86
2020-11-01,patagonia,23983,0,23983
2020-12-01,buenos-aires,353,0,353
2020-12-01,cordoba,455,0,455
2020-12-01,cuyo,960,6,966
2020-12-01,litoral,7007,10,7017
2020-12-01,norte,412,0,412
2020-12-01,patagonia,29665,304,29969
2021-01-01,buenos-aires,1022,4,1026
2021-01-01,cordoba,589,9,598
2021-01-01,cuyo,1104,3,1107
2021-01-01,litoral,34570,161,34731
2021-01-01,norte,4351,17,4368
2021-01-01,patagonia,161456,211,161667
2021-02-01,buenos-aires,1258,0,1258
2021-02-01,cordoba,1157,11,1168
2021-02-01,cuyo,2376,11,2387
2021-02-01,litoral,54180,17,54197
2021-02-01,norte,5484,55,5539
2021-02-01,patagonia,160563,189,160752
2021-03-01,buenos-aires,888,0,888
2021-03-01,cordoba,1136,5,1141
2021-03-01,cuyo,1108,5,1113
2021-03-01,litoral,33171,135,33306
2021-03-01,norte,5830,28,5858
2021-03-01,patagonia,122685,200,122885
2021-04-01,buenos-aires,747,2,749
2021-04-01,cordoba,1378,13,1391
2021-04-01,cuyo,1107,0,1107
2021-04-01,litoral,30266,129,30395
2021-04-01,norte,9119,156,9275
2021-04-01,patagonia,43306,80,43386
